id,kinase_Act
CBK1,-3.6865754978992795
TPK1,-2.322070480590269
PTK1,-2.162212162771451
SNF1,1.7527308159331583
PPH21,-4.14723743394078
SIT4,-2.2207839874591944
PKP1,-2.483881488945351
PBS2,3.4195058971490995
HOG1,1.984380186870038
OCA1,1.8269664708143616
CDC19_S22,NA
CRN1_S463,NA
EIS1_S763,NA
ETT1_T34,NA
HOG1_T174,NA
HOG1_Y176,NA
MLF3_S315,NA
MRH1_S289,NA
NTH1_S20,NA
NTH1_S83,NA
PFK2_S167,NA
PFK2_S171,NA
PUF3_S86,NA
PUF3_T89,NA
SSD1_S42,NA
SSD1_S152,NA
SSD1_S164,NA
SSD1_S228,NA
STE20_T511,NA
URA2_S1857,NA
YLR257W_S197,NA
YLR257W_S200,NA
CDC19,NA
CRN1,NA
EIS1,NA
ETT1,NA
MLF3,NA
MRH1,NA
NTH1,NA
PFK2,NA
PUF3,NA
SSD1,NA
STE20,1.197970198
URA2,NA
YLR257W,NA
